,0,1
0,EX_ni2_e,1000
1,EX_h_e,1000
2,EX_tton_e,1000
3,EX_4fe4s_e,1000
4,EX_so3_e,1000
5,EX_ppi_e,1000
6,EX_cd2_e,1000
7,EX_sel_e,1000
8,EX_slnt_e,1000
9,EX_tet_e,1000
10,EX_fdxrd_e,1000
11,EX_so4_e,1000
12,EX_ag_e,1000
13,EX_n2_e,1000
14,EX_4hadnt_e,1000
15,EX_mg2_e,1000
16,EX_h2o2_e,1000
17,EX_cro4_e,1000
18,EX_tsul_e,1000
19,EX_ppt_e,1000
20,EX_seln_e,1000
21,EX_2hadnt_e,1000
22,EX_nh4_e,1000
23,EX_mobd_e,1000
24,EX_o2_e,1000
25,EX_fe3_e,1000
26,EX_na1_e,1000
27,EX_o2s_e,1000
28,EX_ppi50_e,1000
29,EX_h2s_e,1000
30,EX_zn2_e,1000
31,EX_cl_e,1000
32,EX_cu2_e,1000
33,EX_fe2_e,1000
34,EX_3fe4s_e,1000
35,EX_no3_e,1000
36,EX_fldrd_e,1000
37,EX_mn2_e,1000
38,EX_aso3_e,1000
39,EX_fldox_e,1000
40,EX_aso4_e,1000
41,EX_h2_e,1000
42,EX_cobalt2_e,1000
43,EX_cu_e,1000
44,EX_n2o_e,1000
45,EX_s_e,1000
46,EX_fdxo_2_2_e,1000
47,EX_nh4oh_e,1000
48,EX_pi_e,1000
49,EX_no_e,1000
50,EX_nh3_e,1000
51,EX_ppat_e,1000
52,EX_hg2_e,1000
53,EX_fdxox_e,1000
54,EX_no2_e,1000
55,EX_pppi_e,1000
56,EX_h2o_e,1000
57,EX_tntmdh_e,1000
58,EX_k_e,1000
59,EX_ca2_e,1000
60,EX_34dhbz_e,1000
61,EX_4hbz_e,1000
62,EX_ala_B_e,1000
63,EX_bz_e,1000
64,EX_34dhcinm_e,1000
65,EX_cinnm_e,1000
66,EX_erthrs_e,1000
67,EX_escul_e,1000
68,EX_fer_e,1000
69,EX_galt_e,1000
70,EX_gal_e,1000
71,EX_galur_e,1000
72,EX_ga_e,1000
73,EX_glyc__R_e,1000
74,EX_glyc_e,1000
75,EX_lac__D_e,1000
76,EX_asn__L_e,1000
77,EX_asp__L_e,1000
78,EX_cys__L_e,1000
79,EX_val__L_e,1000
80,EX_mal__D_e,1000
81,EX_malon_e,1000
82,EX_octadecacid_e,1000
83,EX_oxa_e,1000
84,EX_pyr_e,1000
85,EX_quin_e,1000
86,EX_L-Rhamnose_e,1000
87,EX_rib__D_e,1000
88,EX_salcn_e,1000
89,EX_sbt__D_e,1000
90,EX_succ_e,1000
91,EX_urea_e,1000
92,EX_xyl__D_e,1000
93,,
